r,t,y,SalvageValue
KENYA,PWRDIST,2044,2097.7657
KENYA,PWRDIST,2045,2270.0371
KENYA,PWRDIST,2046,2453.2779
KENYA,PWRDIST,2047,2647.5436
KENYA,PWRDIST,2048,2864.8865
KENYA,PWRDIST,2049,3095.9099
KENYA,PWRDIST,2050,3340.7237
KENYA,PWRGEO013,2029,160.3016
KENYA,PWRGEO014,2029,136.1462
KENYA,PWRGEO015,2034,298.2685
KENYA,PWRGEO016,2036,346.0817
KENYA,PWRGEO017,2028,18.2328
KENYA,PWRGEO018,2039,168.7876
KENYA,PWRGEO019,2037,237.4509
KENYA,PWRGEO020,2040,272.0038
KENYA,PWRGEO021,2040,271.9247
KENYA,PWRGEO024,2031,135.47
KENYA,PWRGEO025,2040,271.9247
KENYA,PWRGEO026,2040,271.9247
KENYA,PWRGEO028,2028,21.4106
KENYA,PWRGEO029,2038,249.9346
KENYA,PWRGEO030,2039,261.3981
KENYA,PWRGEO031,2040,271.9247
KENYA,PWRGEO034,2040,99.4909
KENYA,PWRGEO035,2031,49.5509
KENYA,PWRGEO042,2039,91.2119
KENYA,PWRGEO049,2050,44.7513
KENYA,PWRGEO050,2050,44.7513
KENYA,PWRGEO051,2050,44.7513
KENYA,PWRGEO101,2027,5.4919
KENYA,PWRGEO101,2028,11.4516
KENYA,PWRGEO101,2029,17.9197
KENYA,PWRGEO101,2030,24.9405
KENYA,PWRGEO101,2031,32.562
KENYA,PWRGEO101,2032,40.8366
KENYA,PWRGEO101,2033,49.8211
KENYA,PWRGEO101,2034,59.5773
KENYA,PWRGEO101,2035,70.1723
KENYA,PWRGEO101,2036,81.6791
KENYA,PWRGEO101,2037,94.1771
KENYA,PWRGEO101,2038,107.7525
KENYA,PWRGEO101,2039,122.4991
KENYA,PWRGEO101,2040,138.5188
KENYA,PWRGEO101,2041,155.9223
KENYA,PWRGEO101,2042,174.8302
KENYA,PWRGEO101,2043,195.3732
KENYA,PWRGEO101,2044,217.6936
KENYA,PWRGEO101,2045,241.9461
KENYA,PWRGEO101,2046,268.2989
KENYA,PWRGEO101,2047,296.9346
KENYA,PWRGEO101,2048,328.0519
KENYA,PWRGEO101,2049,361.8667
KENYA,PWRGEO101,2050,398.6137
KENYA,PWRGEO102,2027,23.7958
KENYA,PWRGEO102,2028,19.3837
KENYA,PWRGEO102,2029,27.9044
KENYA,PWRGEO102,2030,35.7286
KENYA,PWRGEO102,2031,96.5552
KENYA,PWRGEO102,2032,81.6933
KENYA,PWRGEO102,2033,91.6897
KENYA,PWRGEO102,2034,100.8691
KENYA,PWRGEO102,2035,145.7311
KENYA,PWRGEO102,2036,156.0515
KENYA,PWRGEO102,2037,206.9107
KENYA,PWRGEO102,2038,174.231
KENYA,PWRGEO102,2039,273.3334
KENYA,PWRGEO102,2040,284.3406
KENYA,PWRGEO102,2041,294.4483
KENYA,PWRGEO102,2042,404.9732
KENYA,PWRGEO102,2043,416.3373
KENYA,PWRGEO102,2044,480.1192
KENYA,PWRGEO102,2045,545.4438
KENYA,PWRGEO102,2046,612.0873
KENYA,PWRGEO102,2047,679.8519
KENYA,PWRGEO102,2048,748.5635
KENYA,PWRGEO102,2049,876.5023
KENYA,PWRGEO102,2050,947.449
KENYA,PWRHYD010,2037,57.6806
KENYA,PWRHYD010,2038,374.3187
KENYA,PWRHYD010,2043,207.1002
KENYA,PWRHYD010,2044,260.346
KENYA,PWRHYD010,2045,334.9124
KENYA,PWRHYD011,2035,206.5902
KENYA,PWRHYD011,2037,91.2982
KENYA,PWRHYD015,2033,404.3261
KENYA,PWRHYD016,2023,16.8484
KENYA,PWRHYD016,2024,6.0346
KENYA,PWRHYD016,2025,0.7533
KENYA,PWRHYD016,2026,64.488
KENYA,PWRHYD016,2027,29.5052
KENYA,PWRHYD016,2028,8.5484
KENYA,PWRHYD016,2029,20.9174
KENYA,PWRHYD016,2030,105.7792
KENYA,PWRHYD016,2031,82.8507
KENYA,PWRHYD016,2032,54.6353
KENYA,PWRHYD016,2033,98.245
KENYA,PWRHYD016,2034,77.715
KENYA,PWRHYD016,2035,99.4636
KENYA,PWRHYD016,2036,88.6022
KENYA,PWRHYD016,2037,11.5583
KENYA,PWRHYD016,2038,12.6467
KENYA,PWRHYD016,2039,13.7432
KENYA,PWRHYD016,2040,15.5065
KENYA,PWRHYD016,2041,16.9529
KENYA,PWRHYD016,2042,18.7428
KENYA,PWRHYD016,2043,20.544
KENYA,PWRHYD016,2044,22.3549
KENYA,PWRHYD016,2045,24.8549
KENYA,PWRHYD016,2046,27.368
KENYA,PWRHYD016,2047,29.8923
KENYA,PWRHYD016,2048,32.7709
KENYA,PWRHYD016,2049,36.0062
KENYA,PWRHYD016,2050,39.5998
KENYA,PWRHYD101,2019,123.1829
KENYA,PWRHYD101,2020,39.6702
KENYA,PWRHYD101,2021,46.4514
KENYA,PWRHYD101,2022,53.8794
KENYA,PWRHYD101,2023,62.0146
KENYA,PWRHYD101,2024,70.9232
KENYA,PWRHYD101,2025,80.6777
KENYA,PWRHYD101,2026,91.3572
KENYA,PWRHYD101,2027,103.0481
KENYA,PWRHYD101,2028,115.8451
KENYA,PWRHYD101,2029,129.8517
KENYA,PWRHYD101,2030,145.181
KENYA,PWRHYD101,2031,161.9569
KENYA,PWRHYD101,2032,180.3144
KENYA,PWRHYD101,2033,200.4018
KENYA,PWRHYD101,2034,222.3806
KENYA,PWRHYD101,2035,246.4278
KENYA,PWRHYD101,2036,272.7369
KENYA,PWRHYD101,2037,301.5193
KENYA,PWRHYD101,2038,333.0066
KENYA,PWRHYD101,2039,367.4514
KENYA,PWRHYD101,2040,405.1306
KENYA,PWRHYD101,2041,446.3465
KENYA,PWRHYD101,2042,491.4298
KENYA,PWRHYD101,2043,540.7423
KENYA,PWRHYD101,2044,594.6794
KENYA,PWRHYD101,2045,653.6736
KENYA,PWRHYD101,2046,718.1977
KENYA,PWRHYD101,2047,788.7689
KENYA,PWRHYD101,2048,163.4276
KENYA,PWRNGS002,2032,29.2964
KENYA,PWRNGS003,2041,354.7618
KENYA,PWRNGS004,2047,155.9543
KENYA,PWRNGS005,2032,3.5325
KENYA,PWRNGS005,2034,0.4043
KENYA,PWRNGS006,2034,18.9128
KENYA,PWRNGS009,2050,111.6027
KENYA,PWRNGS010,2035,42.3778
KENYA,PWRNGS011,2034,33.0974
KENYA,PWRNGS018,2033,9.9931
KENYA,PWRNGS018,2034,27.7874
KENYA,PWRNGS018,2035,58.2418
KENYA,PWRNGS018,2036,3.025
KENYA,PWRNGS018,2037,64.7574
KENYA,PWRNGS018,2038,42.0889
KENYA,PWRNGS018,2039,25.0278
KENYA,PWRNGS018,2040,99.8819
KENYA,PWRNGS018,2041,85.5754
KENYA,PWRNGS018,2042,105.9437
KENYA,PWRNGS018,2043,130.2333
KENYA,PWRNGS018,2044,159.0129
KENYA,PWRNGS018,2045,193.1562
KENYA,PWRNGS018,2046,233.5107
KENYA,PWRNGS018,2047,281.3416
KENYA,PWRNGS018,2048,337.6562
KENYA,PWRNGS018,2049,404.1347
KENYA,PWRNGS018,2050,482.4411
KENYA,PWRPHS001,2037,99.9109
KENYA,PWRPHS001,2038,217.4648
KENYA,PWRPHS002,2038,203.8062
KENYA,PWRPHS002,2040,3.7877
KENYA,PWRPHS002,2041,113.8517
KENYA,PWRSOL003,2032,2.4722
KENYA,PWRSOL004,2032,3.2303
KENYA,PWRSOL005,2032,3.3635
KENYA,PWRSOL013,2032,0.858
KENYA,PWRSOL014,2032,3.721
KENYA,PWRSOL101,2032,4.3632
KENYA,PWRSOL101,2033,10.4121
KENYA,PWRSOL101,2034,18.6834
KENYA,PWRSOL101,2035,29.851
KENYA,PWRSOL101,2036,44.7386
KENYA,PWRSOL101,2037,64.5164
KENYA,PWRSOL101,2038,90.6986
KENYA,PWRSOL101,2039,124.6576
KENYA,PWRSOL101,2040,169.1917
KENYA,PWRSOL101,2041,226.7835
KENYA,PWRSOL101,2042,301.5256
KENYA,PWRSOL101,2043,396.8276
KENYA,PWRSOL101,2044,519.7865
KENYA,PWRSOL101,2045,678.5981
KENYA,PWRSOL101,2046,879.8259
KENYA,PWRSOL101,2047,1135.1054
KENYA,PWRSOL101,2048,1090.841
KENYA,PWRSOL101,2049,8.2375
KENYA,PWRSOL101,2050,11.0839
KENYA,PWRTRN,2019,109.8955
KENYA,PWRTRN,2020,10.2136
KENYA,PWRTRN,2021,26.844
KENYA,PWRTRN,2022,20.8134
KENYA,PWRTRN,2023,18.5647
KENYA,PWRTRN,2024,22.9922
KENYA,PWRTRN,2025,25.827
KENYA,PWRTRN,2026,65.0641
KENYA,PWRTRN,2027,74.6844
KENYA,PWRTRN,2028,83.7234
KENYA,PWRTRN,2029,91.4441
KENYA,PWRTRN,2030,95.2018
KENYA,PWRTRN,2031,106.6026
KENYA,PWRTRN,2032,119.4572
KENYA,PWRTRN,2033,128.681
KENYA,PWRTRN,2034,142.7523
KENYA,PWRTRN,2035,155.7592
KENYA,PWRTRN,2036,171.6149
KENYA,PWRTRN,2037,193.2059
KENYA,PWRTRN,2038,211.4005
KENYA,PWRTRN,2039,230.9434
KENYA,PWRTRN,2040,252.7989
KENYA,PWRTRN,2041,276.3499
KENYA,PWRTRN,2042,275.04
KENYA,PWRTRN,2043,293.0019
KENYA,PWRTRN,2044,316.8472
KENYA,PWRTRN,2045,343.4714
KENYA,PWRTRN,2046,371.7963
KENYA,PWRTRN,2047,401.8309
KENYA,PWRTRN,2048,435.4075
KENYA,PWRTRN,2049,471.1032
KENYA,PWRTRN,2050,508.9353
KENYA,PWRURN001,2036,1433.6965
KENYA,PWRURN002,2039,1440.828
KENYA,PWRURN003,2042,1446.35
KENYA,PWRWND012,2050,36.6844
KENYA,PWRWND018,2048,153.2263
KENYA,PWRWND027,2033,16.1623
KENYA,PWRWND101,2032,5.8588
KENYA,PWRWND101,2033,13.5494
KENYA,PWRWND101,2034,23.5506
KENYA,PWRWND101,2035,36.398
KENYA,PWRWND101,2036,52.821
KENYA,PWRWND101,2037,73.661
KENYA,PWRWND101,2038,99.9066
KENYA,PWRWND101,2039,132.9585
KENYA,PWRWND101,2040,174.133
KENYA,PWRWND101,2041,225.6251
KENYA,PWRWND101,2042,289.5324
KENYA,PWRWND101,2043,368.6097
KENYA,PWRWND101,2044,466.5219
KENYA,PWRWND101,2045,587.169
KENYA,PWRWND101,2046,736.042
KENYA,PWRWND101,2047,916.0618
KENYA,PWRWND101,2048,1136.058
KENYA,PWRWND101,2049,1405.5412
KENYA,PWRWND101,2050,1734.1881
